police_precinct,total_event_count
1,1148
5,6378
6,4185
7,4519
9,4328
10,2237
13,2850
14,1402
17,2605
18,3964
19,1846
20,2981
22,13640
23,3366
24,5766
25,25217
26,1763
28,325
30,2044
32,1981
33,2088
34,4007
40,3408
41,2091
42,4565
43,4772
44,5435
45,4821
46,433
47,2188
48,924
49,1238
50,6295
52,5224
60,7186
61,2304
62,1089
63,3857
66,1360
67,608
68,6114
69,2155
70,5013
71,1450
72,3798
73,1842
75,3558
76,5028
77,2769
78,6389
79,1439
81,1792
83,2119
84,1184
88,1841
90,2580
94,6459
100,976
101,927
102,2183
103,1491
104,8254
105,2832
106,2725
107,5796
108,2136
109,9224
110,7021
111,4428
112,263
113,4333
114,6709
115,2903
120,3822
121,54
122,6214
123,4152
