police_precinct,event_borough
18,Manhattan
20,Manhattan
1,Manhattan
13,Manhattan
17,Manhattan
5,Manhattan
7,Manhattan
25,Manhattan
19,Manhattan
109,Queens
61,Brooklyn
111,Queens
104,Queens
24,Manhattan
122,Staten Island
123,Staten Island
50,Bronx
52,Bronx
120,Staten Island
60,Brooklyn
108,Queens
102,Queens
72,Brooklyn
68,Brooklyn
76,Brooklyn
110,Queens
10,Manhattan
63,Brooklyn
94,Brooklyn
114,Queens
90,Brooklyn
23,Manhattan
81,Brooklyn
106,Queens
40,Bronx
44,Bronx
22,Manhattan
78,Brooklyn
9,Manhattan
33,Manhattan
113,Queens
84,Brooklyn
66,Brooklyn
70,Brooklyn
6,Manhattan
107,Queens
100,Queens
62,Brooklyn
34,Manhattan
43,Bronx
73,Brooklyn
42,Bronx
75,Brooklyn
14,Manhattan
75,Queens
103,Queens
49,Bronx
45,Bronx
83,Brooklyn
115,Queens
71,Brooklyn
77,Brooklyn
26,Manhattan
79,Brooklyn
69,Brooklyn
112,Queens
88,Brooklyn
48,Bronx
32,Manhattan
30,Manhattan
47,Bronx
90,Manhattan
28,Manhattan
46,Bronx
67,Brooklyn
105,Queens
41,Bronx
107,Manhattan
101,Queens
121,Staten Island
83,Queens
84,Manhattan
1,Brooklyn
5,Brooklyn
108,Manhattan
114,Manhattan
120,Manhattan
40,Manhattan
68,Manhattan
76,Manhattan
88,Manhattan
94,Manhattan
104,Brooklyn
43,Queens
78,Queens
108,Brooklyn
114,Brooklyn
17,Brooklyn
18,Brooklyn
19,Brooklyn
23,Brooklyn
25,Brooklyn
40,Brooklyn
41,Brooklyn
42,Brooklyn
45,Brooklyn
48,Brooklyn
49,Brooklyn
52,Brooklyn
23,Queens
68,Queens
72,Queens
102,Bronx
104,Bronx
112,Bronx
60,Bronx
61,Bronx
62,Bronx
63,Bronx
66,Bronx
68,Bronx
69,Bronx
70,Bronx
73,Bronx
94,Bronx
10,Brooklyn
20,Brooklyn
24,Brooklyn
26,Brooklyn
30,Brooklyn
32,Brooklyn
33,Brooklyn
6,Brooklyn
50,Manhattan
52,Manhattan
46,Queens
62,Queens
102,Brooklyn
106,Brooklyn
60,Manhattan
62,Manhattan
72,Manhattan
78,Manhattan
34,Staten Island
50,Staten Island
52,Staten Island
1,Staten Island
10,Staten Island
13,Staten Island
14,Staten Island
17,Staten Island
18,Staten Island
5,Staten Island
6,Staten Island
68,Staten Island
7,Staten Island
72,Staten Island
76,Staten Island
84,Staten Island
9,Staten Island
18,Bronx
20,Bronx
24,Bronx
26,Bronx
30,Bronx
33,Bronx
34,Bronx
44,Manhattan
46,Manhattan
67,Manhattan
71,Manhattan
73,Manhattan
75,Manhattan
77,Manhattan
1,Queens
10,Queens
14,Queens
17,Queens
5,Queens
6,Queens
79,Queens
84,Queens
88,Queens
90,Queens
94,Queens
108,Bronx
114,Bronx
19,Bronx
23,Bronx
25,Bronx
90,Bronx
20,Staten Island
25,Staten Island
40,Staten Island
44,Staten Island
66,Staten Island
70,Staten Island
71,Staten Island
78,Staten Island
109,Bronx
107,Bronx
122,Manhattan
22,Brooklyn
28,Brooklyn
42,Manhattan
48,Manhattan
41,Manhattan
17,Bronx
7,Brooklyn
9,Brooklyn
13,Brooklyn
14,Brooklyn
