OBJECTID,Precinct,Shape__Area,Shape__Length
1,1,47285006.2626753,80093.5344273871
2,5,18094527.4386139,18807.1249113946
3,6,22143015.2188321,27255.9911196773
4,7,18366669.9279404,17287.5444926314
5,9,21395386.2669091,19772.5107407305
6,10,27265496.4956055,40227.2250544899
7,13,29507656.2644653,27719.2073747138
8,14,20511128.1195221,20973.8201315088
9,17,22268768.2673645,26719.6801963237
10,18,32250244.1739171,41625.4866798585
11,19,48791517.5452681,30595.1089765318
12,20,27673868.6520538,27069.9614198695
13,22,38312203.0722198,32712.7637008026
14,23,21466676.401413,19427.8845416544
15,24,25478124.0677795,20707.0069544139
16,25,44791480.1456037,52199.2756427118
17,26,23831001.0142059,23941.6286810482
18,28,15294021.6856232,17106.1494045525
19,30,18846950.4113464,21643.881144761
20,32,23025265.80797,25564.5397303084
21,33,25731651.9884236,22108.2615978725
22,34,52225487.4125395,44062.4075417112
23,40,60400197.5200721,33440.2808339951
24,41,62131280.0024977,51159.299427655
25,42,44812433.6122589,33497.4659985722
26,43,113305028.085359,62316.4682563677
27,44,55511794.0724976,31464.1347868289
28,45,271911443.975673,308990.082955923
29,46,38333420.8161621,29392.7128417806
30,47,160519292.767714,86755.6199689778
31,48,42477717.4579163,34481.7597407366
32,49,105804534.545227,45771.7759575538
33,50,136135430.547097,52368.1122070035
34,52,80713476.4065223,65959.2856034056
35,60,88205716.6855254,66069.4926928245
36,61,134685551.090862,130308.635494922
37,62,103226477.176048,51711.9569777639
38,63,229425897.538895,203563.044224467
39,66,99486849.7711029,52388.6113684321
40,67,93814973.7021942,43255.8695266916
41,68,111015386.416712,44451.0177252407
42,69,106838731.965803,116837.655798989
43,70,82171875.0620728,49075.5684300323
44,71,45315380.3646545,29932.8044991649
45,72,104512376.183456,89370.8460151646
46,73,51754371.5806427,33000.2099603842
47,75,180494073.021556,106337.879199599
48,76,48265948.8542666,68207.1821554746
49,77,42657454.3686829,34769.253912664
50,78,67785328.8866882,40052.4520342655
51,79,44975552.9582062,28256.9272185401
52,81,34485980.0508575,28386.9296729381
53,83,56648865.8976135,36960.7222176233
54,84,35466134.7103103,38209.8942066215
55,88,42375844.0881748,53359.9027796491
56,90,66153409.5826416,51576.3363175445
57,94,65581760.9472609,44661.7274534547
58,100,204836691.566577,279485.505227955
59,101,86031982.5708404,80619.5972274054
60,102,132862642.155319,52811.6998049202
61,103,100910665.127701,48580.2743229378
62,104,210559145.398972,75791.5956969586
63,105,347519403.122216,134121.25172121
64,106,173407507.696885,107426.593339116
65,107,207578767.296265,69279.1266229293
66,108,139469689.999102,73736.0739221336
67,109,322626658.835983,137180.420725562
68,110,111972220.168968,72964.6543976631
69,111,259698726.621645,103218.168637918
70,112,89211461.1998901,42560.7180421469
71,113,387082868.095843,197736.416297217
72,114,179510434.905264,114956.673284576
73,115,114119713.711212,60059.4107576294
74,120,232327994.244813,92945.6974028564
75,121,475577637.856969,136811.464636251
76,122,454852053.696155,154842.385071076
77,123,460862058.601471,120801.170463214
